quadrant,censusID,person in charge,data collection date,data entry person,data entry date,1st data curator,1st curation date,2nd data curator,2nd curation date
C09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
C10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
C11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C14,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C17,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C18,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
C19,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
C20,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
D01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
D02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
D03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
D04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
D05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
D06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
D07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
D08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
D09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
D10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
D11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
D12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
D13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
D14,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
D15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
D16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
D17,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
D18,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
D19,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
D20,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
E01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
E02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
E03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
E04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
E05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
E06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
E07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
E08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
E09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
E10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
E11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
E12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
E13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
E14,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
E15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
E16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
E17,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
E18,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
E19,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
E20,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
F01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
F02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
F03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
F04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
F05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
F06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
F07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
F08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
F09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
F10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
F11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
F12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
F13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
F14,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
F15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
F16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
F17,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
F18,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
F19,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
F20,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
G02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
G03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
G04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
G05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
G06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
G07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
G08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
G09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
G10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
G11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G14,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
G15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G17,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G18,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
G19,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
G20,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
H02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
H03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
H04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
H05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
H06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
H07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
H08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
H09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
H10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
H11,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
H12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H14,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
H15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H17,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H18,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H19,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
H20,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
I02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
I03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
I04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
I05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
I06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
I07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
I08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
I09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
I10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
I11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I14,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
I15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I17,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I18,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I19,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
I20,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
